Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
27:14.3,-0.828527,6.819369,6.082751,0.106861,-0.136901,-0.028743,18.799908,-40.172142,-14.525543,-84.940848,-43.786046,12.547262,0
27:14.4,-0.869392,7.109765,5.741461,0.208681,-0.095884,-0.132885,19.325588,-40.458717,-14.346252,-83.67517,-44.410081,12.405552,0
27:14.5,-0.476609,7.713609,6.197412,-0.122333,-0.185085,-0.10985,19.180923,-39.64444,-15.834106,-83.621673,-43.11406,10.706334,0
27:14.6,-0.544268,7.611522,5.239105,-0.094719,-0.334172,-0.025198,19.579174,-39.599915,-15.627655,-82.318736,-43.057608,9.723761,0
27:14.7,-0.925226,7.606432,5.177883,0.006501,-0.246699,-0.403404,20.842285,-38.593605,-16.728638,-79.091831,-42.420334,10.044659,0
27:14.8,-1.104403,8.42987,6.162236,-0.069005,-0.445069,-0.369411,21.234528,-37.233109,-17.576202,-76.968309,-41.657488,8.413065,0
27:14.9,-2.234404,7.257658,8.198451,-0.095935,-0.491103,-0.281697,21.925571,-35.908714,-18.862122,-74.448163,-40.055305,7.796122,0
27:15.0,-2.41897,6.445746,10.779534,-0.487758,0.196722,-0.506319,22.947159,-33.729507,-21.435303,-73.223894,-35.738597,9.060662,0
27:15.1,-1.75061,4.194278,8.483608,-0.876695,-0.485186,0.142038,22.484028,-32.948349,-22.798828,-73.913149,-33.977514,7.887633,0
27:15.2,-2.103127,5.464237,5.433251,-0.185848,-0.077177,-0.278906,23.081684,-32.569908,-22.50174,-73.495797,-34.1068,8.922516,0
27:15.3,-1.232836,6.409222,6.222859,0.640249,0.089344,0.086275,23.042473,-33.860649,-20.257294,-73.849685,-37.354396,10.411402,0
27:15.4,-0.459544,6.289321,7.982899,0.656452,0.455441,-0.038874,24.099613,-34.121246,-18.285492,-71.829983,-39.693427,13.196676,0
27:15.5,-0.095352,6.560108,10.059232,-0.011059,0.087327,-0.035612,23.130337,-33.21656,-19.487274,-72.816264,-38.191019,10.779357,0
27:15.6,0.011227,5.783523,7.933502,-0.477407,-0.792506,0.075588,22.061108,-32.299789,-21.695343,-72.312263,-36.81234,7.125651,0
27:15.7,-0.714015,4.264332,5.709876,-0.22433,-0.615436,-0.331633,22.548954,-30.217247,-23.756622,-68.457013,-34.581635,6.527495,0
27:15.8,-1.944606,6.386769,6.441854,0.230721,-0.462748,-0.545044,22.481701,-29.593178,-24.357727,-65.271325,-36.048565,4.763502,0
27:15.9,-2.765499,6.64573,9.113947,0.159332,-0.418182,-0.37968,22.54583,-28.700264,-24.14447,-62.175165,-36.508858,5.059699,0
27:16.0,-2.814747,6.962022,8.86771,0.342398,0.577875,0.232864,22.916729,-29.951874,-21.576111,-65.090933,-38.349482,7.800257,0
27:16.1,-0.845592,5.595065,8.730295,-0.220003,0.337989,0.557709,21.709911,-30.541512,-21.422394,-68.897496,-37.688749,7.099382,0
27:16.2,-1.391506,4.551884,5.216652,-0.577229,-0.011611,-0.027561,21.932961,-29.4142,-22.015442,-69.178297,-35.586893,8.633015,0
27:16.3,0.149689,5.449717,6.909781,0.465129,0.439449,0.290662,20.529961,-31.104507,-20.818451,-71.892659,-38.177207,7.545847,0
27:16.4,0.30282,5.35212,8.501272,0.483292,-0.111189,0.020331,20.801651,-31.399742,-20.124176,-69.860603,-40.166566,7.946041,0
27:16.5,0.624202,5.951174,10.578053,0.073647,-0.24683,-0.391701,19.978268,-29.665131,-22.289764,-68.392489,-37.426518,6.891856,0
27:16.6,0.882116,6.022726,8.740923,-0.68408,-1.009502,0.076734,18.51503,-28.568169,-24.994324,-68.956117,-34.912945,2.389356,0
27:16.7,-1.565295,5.217251,4.643344,-0.425542,-0.451282,-0.626429,19.38382,-27.743996,-25.223389,-65.180297,-34.872914,2.791118,0
27:16.8,-3.301534,5.742059,6.622528,0.931946,-0.653926,-0.38475,18.244404,-29.051025,-24.645538,-62.88264,-39.155263,0.016846,0
27:16.9,-3.041675,6.906338,8.056247,0.362868,-0.297017,-0.102514,18.336708,-29.893829,-23.354401,-63.793833,-41.038149,0.880861,0
27:17.0,1.044079,6.410869,11.297756,-0.081423,1.051076,0.747094,16.776356,-29.884811,-24.910492,-70.228728,-37.359356,-0.18665,0
27:17.1,0.420476,4.864883,7.850425,-0.292632,0.567293,1.144729,16.19846,-29.906548,-25.779755,-74.058014,-34.809129,0.346323,0
27:17.2,-0.412991,4.542604,5.062622,-0.379854,1.205087,-0.186052,18.425922,-30.923454,-23.882843,-74.278901,-36.313874,5.544546,0
27:17.3,1.526975,4.833598,8.4878,0.733976,0.054644,0.583428,17.060532,-32.817261,-22.410156,-76.307195,-39.494804,3.569258,0
27:17.4,0.11541,7.084318,9.993069,-0.021602,-0.134151,-0.305981,17.706448,-31.932381,-23.593842,-73.412738,-38.145311,3.833201,0
